Tweet;Creation_date;Name;User;location;retweets;favorites;friends_count;followers_count
No passado, o mercado ilegal desses animais quase levou as espécies à extinção. | Em 2014, a arara-azul foi retirada da Lista Nacional Oficial de Espécies da Fauna Ameaçadas de Extinção. Notícia da @MongabayOrg para @UOL. https://t.co/DGSNWAHsaV;Comissão Pró-Índio;proindio;2020-11-26 14:03:44;São Paulo, Brasil;4;15;1895;18726
@karevcris não não;Fláงiค🌻;arara_azul_;2020-11-26 13:58:18;Minas Gerais, Brasil;0;0;88;61
menina do interior né https://t.co/aALMCjtCa6;Fláงiค🌻;arara_azul_;2020-11-26 13:57:51;Minas Gerais, Brasil;0;5;88;61
@arara_azul_ aí cê exagerou;cris;karevcris;2020-11-26 13:57:44;São Simão, Brasil;0;0;292;403
@Gp_cordeiro Pretendo o azul. É q esse verde n existe! Ele era o arara azul da kamaleao color que oxidou em cloro de piscina e esverdeou. Ai toda vez q eu retocava azul (que era bem caneta bic), ele retocava em cima da base verde. Por isso ficava tão verde azulado e por isso q desbotava nunca;And hearts in twos~;Red_Queen_x;2020-11-26 11:11:35;;0;0;294;298
"Na última semana uma arara azul tem pousado no topo do prédio, em cima do meu quarto (moro no último andar), e começado um chilique desnecessário. Sempre às 5h19. 

Sim, eu acordo com os gritos, olho o relógio e tá lá, sempre: 5h19. 

Veterinário trata neurose obsessiva?";r.;repasplus;2020-11-26 10:51:40;;0;8;316;226
arara azul o maior papagaio do planeta;lontra negra;junglejms;2020-11-26 03:38:51;Jaboatão dos Guararapes;0;0;666;2431
@Riquelme_13M azul igual uma arara em extinção;ana clara;_anaonc;2020-11-26 03:10:57;;0;0;471;1153
por ex são 2:43, eu acordo as 7h p trabalhar e to aqui desenhando uma arara azul;manoela klein;manoelakleinn;2020-11-26 02:44:07;;0;1;87;45
@ninthgoddess Krlh AKAKAKSKAKAKALA ARARA VERMELHA E ARARA AZUL AKSKSKSKKSSKS;Nard-Shaclonagem.;zBerNN;2020-11-26 02:17:00;;0;0;335;70
@carolzitaaaaah como faz pra ser linda assim??;Fláงiค🌻;arara_azul_;2020-11-26 01:23:00;Minas Gerais, Brasil;0;0;88;61
o Harry quer ser uma arara azul e ninguém nunca falo sobre isso;𝘢𝘯𝘢 .*.✧;lp7wonder;2020-11-26 01:09:52;1732   ;0;0;630;417
Desenhei Algumas espécies de araras 🦜:Ararajuba,Maracanã-Verdadeira,Arara Azul Grande e Arara Canindé https://t.co/fPvwAG5n7N;Raphaelly 😁;RaphaellyLinda;2020-11-26 00:55:52;Rio de Janeiro, Brasil;0;2;1030;873
@luanyavela aiiii mto obrigada de vdd 🥺💗 então, é exatamente isso que eu penso... mas eu acho que não, querendo ou não fica alguma marquinha né? uma vez um colega me contou que uma amiga dele tinha uma arara azul tatuada, ela fez a remoção, a tinta saiu mas ficou o desenho ainda em forma +;🐝 sunrise;floresaocaoss;2020-11-26 00:50:50;019 - $P;0;1;1555;3635
Uma mistura de arara azul com nerd paraense. https://t.co/CuzO3bWTVc;Alê Dias;alexkidrd;2020-11-26 00:28:55;Boa Vista - RR - BR;0;4;371;952
@PimentaCamis Pedro confuso;Fláงiค🌻;arara_azul_;2020-11-26 00:23:14;Minas Gerais, Brasil;0;1;88;61
@AbrahamWeint @felipeneto Acabou com a arara azul ! 🤣🤣🤣🤣🤣🤣🤣;Kita Gouveia Bonoro tia do Zap ! 👊🇧🇷;gouveia_kita;2020-11-26 00:16:33;;0;0;3299;3116
Obrigada Bar Arara Azul pela cerveja gelada, barata, atendimento top e jogo do São Paulo na tv.;Asfalter Carvalho;michelecrvlh;2020-11-25 22:49:05;Brasil;0;2;517;489
@sukiraw1 Compra uma arara azul agora;Rodrigo Queiroz;RQueiroz84;2020-11-25 22:40:29;Piracicaba, Brasil;0;0;19;2
"@docinhotrevoso_ A cor foi Arara Azul daquela marca que tem o nome de um bicho! Eu acho que errei na descoloração e por isso ficou nessa tonalidade...kkkkkk
Um erro bom!";Tai é ED50☀️;agridoce_87;2020-11-25 22:29:32;Belém-PA;0;0;564;161
"@sukiraw1 toca um samba, junta um canário, uma arara azul e um Bulldog babão e ta feito.
fexta em Ipanema meu amor.";felipe;lf_oliveirask8;2020-11-25 22:27:40;Itaipuaçu, Maricá, Brasil;0;2;191;136
@mb_ribeiro_ vai se fude arara azul;montaninowwª;montaninooo;2020-11-25 22:04:04;;0;0;234;327
Se duvidar ate a arara azul faz um um estrago na águia careca;pequeno agricultor gótico;ulrich_mo;2020-11-25 21:37:35;depende do dia ;1;3;156;114
"@roseworsth e aqui que quase entrou uma arara azul
menina que susto eu tomei,só não entrou por causa da grade";mariana;juliansbcker;2020-11-25 21:13:31;she/her;0;0;470;2185
Sonho em ter uma arara azul mano;Zoe · Ordem Paranormal;oKA0SER;2020-11-25 21:12:48;;0;0;693;696
eu vi uma arara azul????? 🤔;bia🍰 junnie day 🎉;kyunstellarr;2020-11-25 21:06:45;       𝖼𝗋𝖺𝙫. ⌗ ᨒ tre𝗮. 𓂃;0;1;7386;7524
eu tô chorando pq eu quero uma arara azul;yass;YassMaciiel234;2020-11-25 21:06:39;Sumaré, Brasil;0;0;281;265
“A glock é igual uma arara azul montando num mico leão dourado” - bt;Lucas Itoh;LucasG_Itoh;2020-11-25 20:13:53;;0;1;164;53
Vou começar a caçar arara azul botar na minha casa e falar que ela apareceu do nada, aí apareço na globo tbm https://t.co/4yYSJprt91;Lucas;LucasAzedi_nho;2020-11-25 18:04:25;pra quer saber?;0;0;119;143
@BrunoNoobaREAL @aloguinness @sukiraw1 Obrigado quase arranquei o bico da minha arara azul vinda do mercado negro;🍁 Kiodry;KIODRY2;2020-11-25 16:46:52;;0;10;277;35
@dahsan1942 azul, né? dia 23 te prepara q tu vai ver uma arara azul em cima de ti https://t.co/UuKql9AK3L;dudu ai meu dudu;b7anch1;2020-11-25 15:38:53;São Luís, Brasil;0;1;192;235
"Charlie, a arara azul de 121 anos de Winston Churchill que odeia nazistas, continua xingando ""malditos nazistas!"" e “maldito Hitler!” até hoje, mesmo após 55 anos da morte de seu dono! https://t.co/QGLVjheaAB";Mega Curioso;MegaCurioso;2020-11-25 13:05:15;São Paulo, Brasil;10;104;3;60176
@ItaloTrinchao OLHA ELA AÍ DI'NOVO,A ARARA AZUL, A NVA MASCOTE DO TRICOLOR DE AÇO E DE DOUGLAS. BOM DIAAAA;Antonio José de Almeida Silva;AntonioJosdeAl3;2020-11-25 12:21:54;;0;3;51;11
@sukiraw1 eu deveria ter tirado foto da arara azul enquanto podia;leth;lethyuki;2020-11-25 11:45:48;;0;0;172;141
@artkbanks @sickofme__ vc urubu pernilongo jaguatirica onça golfinho baiacu arara azul pombo galo carijo;ؘn.;todvoroki;2020-11-25 07:09:39;         ⍝﹟ / 夜卜 !  ˒   京治 ;0;0;3589;9631
aliás Fergie e Coldplay qndo tiveram no rock in rio também perfomaram muito melhor {a fergie até uma ARARA AZUL meteu no palco qndo veio};wildcat capixaba 🐾🎓;heitorbaia;2020-11-25 06:32:59;027;0;0;1165;362
vê se ele começa a cantar que coisa mais linda pra mulher dele enquanto tem 2 arara azul encarando ele https://t.co/nM1V5KhqTv;Fiore e piadas;Fiorehamster;2020-11-25 04:24:24;ele/dele;1;3;283;177
@sukiraw1 Coloca um samba pra ele dançar, vai q chega 2 arara azul também Ai;Miranda;MirandaIpase;2020-11-25 03:59:36;Cuiabá, Brasil;0;0;366;97
esse ai não é aql do filme da arara azul? https://t.co/WXIxz01nBW;nalí;jbcrowded;2020-11-25 03:42:49;carey 1993;0;0;598;215
@ECBahia Minha Arara Azul;mão na cabeça e rala;siricondaTV;2020-11-25 01:46:19;Salvador, Brasil;0;0;75;77
@folhazdeoutono @akavianna_ Vou ser pique arara azul, a mais bela;thamyrinha;grenadefire_;2020-11-25 01:24:25;RJ/ZO;0;0;458;560
@Juu1908 Nada de júia, teu apelido é arara azul;Allanzinho🥵;ALL7NZIN;2020-11-25 01:21:49;Curitiba;0;0;740;745
A- A gnt era muito proxima ano passado por causa do arara azul e tal eu sinto muita falta de falar cntg te amo dimaais;tina🏳️‍🌈;valentininhal;2020-11-25 00:33:55;Santa Maria, Brasil;0;1;432;404
@isabelasoaresl_ O ataque da arara azul fez efeito;Fonsin 28/45;DiasAffonso;2020-11-24 22:58:38;Salvador, Bahia, Brasil;0;1;425;1655
vou assistir filminho de arara azul cantante pra ganhar serotonina;efeF;fevhyc;2020-11-24 22:31:52;Brasília, Brasil;0;0;394;165
@jvnunes_ @OAlterIgor Minha arara azul também pediu!;Matheus Costa;sayithenriques;2020-11-24 22:25:22;Rio de Janeiro, Brasil;0;1;237;84
Green Friday da Simple Organic traz campanha de consumo com impacto positivo e apoio ao Instituto Arara Azul https://t.co/bcMwlR51Zk https://t.co/bJxeRCly3V;Mapa das Franquias;mapafranquias;2020-11-24 22:20:35;;0;0;126;368
Ou eu to feliz de mais ou essa praça no fim de tarde realmente parece um paraíso... tem arara azul e os krlh;Eu vim de lá;Bouanoitte;2020-11-24 20:57:00;Goiânia, Brasil;0;4;465;76
fui comprar pirulito aq perto aí do nada saiu uma arara amarela e azul do tamanho de um cachorro da casa da mulher e ainda tava gritando, mermao que medo namoral nunca corri tanto;gabi;deusadogado;2020-11-24 20:41:47;;0;0;598;451
"Eu fico indignado com essas pessoas de outros países que já foram em mais lugares aq no Brasil doq eu, eu puto! Aff eu penso ""tomara q  vc seja bicado por uma arara azul seu bosta""";Nascido da Tormenta;israeelfreitas;2020-11-24 19:22:25;Vinhedo, Brasil;0;0;136;118
o aluno que entra no ensino médio achando que vai aprender sobre arara azul, onça pintada e na verdade aprende sobre aminoácidos e vacúolos;Igo;igrPadua;2020-11-24 18:34:13;Três Pontas;0;0;500;351
Blu (Jesse Eisenberg) é uma arara azul que nasceu no Rio de Janeiro mas, capturada na floresta, foi parar na fria Minnesota, nos Estados Unidos. Lá é criada por Linda (Leslie Mann), com quem tem um forte laço afetivo. Um dia, Túlio (Rodrigo Santoro) entra na vida de ambos.;Rio de Janeiro 🇧🇷 · #Paisverso;RioDoPV;2020-11-24 16:47:27;;0;0;128;109
@sardinhes Muito bonita sua iniciativa contra a extinção da arara azul;joao quebra toco;bachegola;2020-11-24 14:58:02;Londrina, Brasil;0;2;258;197
"Três filhotes de arara-azul, espécie ameaçada de extinção, nasceram no Zooparque de Itatiba (SP) por incubação artificial. É a primeira vez que a espécie se reproduz no local.

Uma notícia boa! ❤️

https://t.co/ffU4gEdN4L";Quebrando o Tabu;QuebrandoOTabu;2020-11-24 14:30:00;;92;1992;319;2548591
@rainbyuI Desenha uma arara azul;ᨦ vih ദ;byulartic;2020-11-24 12:19:59;she/her ;0;0;2068;1919
Arara azul eh a coisa mai fofa do mundo nho nho https://t.co/jwsXAgzxxP;𝕷𝖎𝖕𝖊 📚 ✨;filpemmtus;2020-11-24 11:30:45;;0;0;737;562
#AjudaPantanal Em meio à devastação provocada pelas #queimadas no #Pantanal, espécies sobreviventes, como a arara-azul, agora precisam encontrar abrigo e alimento, além de escapar da predação. Apoie nosso trabalho em defensa da vida no Pantanal: https://t.co/aoIrLsa9J9 p https://t.co/MTufLpHPRf;WWF-Brasil;WWF_Brasil;2020-11-24 11:27:01;Brazil;20;72;597;461151
"@W0NIELIST nome: ranny
gênero: fluído
sexualidade: pan
altura: 1,67
signo: capricornio
de onde é: pe
cor de cabelo: castanho
animal fav: arara azul, baleia, gato e coelho mas gosto de mais um bocado 
dia ou noite: noite!";honey;hoonpoetry;2020-11-24 05:22:34;개와 늑대의 그 시간엔 마법 속에 갇히고파 Blue hour! 너는 나만의 special 하나뿐인 내 special 꿈의 문이 열리고 추억 속 넌 현실로.;0;1;376;286
@GeracaoNintendo @LuigiOne12 É a Arara Azul do fime Rio?;Mr. Ketch;Mr_Ketch_;2020-11-24 02:48:27;Alone...?;0;5;417;302
@do_bahea @kmuniz30 @ECBahia Prefiro a Arara azul de Aço. Superman é muito americanizado.;Comento nos comentários alheios;Lincos_Rocha;2020-11-24 02:34:58;Pôrto Seguro - BA;0;1;170;23
"@ECBahia O mascote do Bahia é americanizado. Mas bem que podia ser um nacional ""Arara Azul de aço.""";Comento nos comentários alheios;Lincos_Rocha;2020-11-24 02:33:06;Pôrto Seguro - BA;0;1;170;23
Como comprar arara azul sem pagar imposto?;Heitoryoutube18;Heitoryoutube;2020-11-24 02:33:01;No cu do meu tio;0;0;94;30
@oocbrazil Foda que ela é uma arara azul e eu sou só um pombo tlg;André Barbosa;AndreBarbosaFr;2020-11-24 00:03:38;eu tbm estou tentando me achar;0;1;100;21
